band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_SurfaceTemp,Gardner,DSWE1a,LS5,LS7,poly,779.5156609583278,NA,-4.299280512940677,0.008957763577040031,274.19523656,309.41280563
med_Blue,Gardner,DSWE1,LS8,LS7,poly,0.011167143980780446,NA,1.0708265670454493,-1.1743995991531546,-7.499999999999174e-5,0.10790375000000002
med_Green,Gardner,DSWE1,LS8,LS7,poly,0.0065460904882261835,NA,0.8302641925758527,0.45969997252447503,0.005878750000000002,0.150405
med_Red,Gardner,DSWE1,LS8,LS7,poly,0.0068512019373889186,NA,0.873737626767728,0.4255670021734415,-0.0015874999999999917,0.14641749999999998
med_Nir,Gardner,DSWE1,LS8,LS7,poly,0.013342449004620924,NA,0.7650403947149813,1.3319302499842107,-0.00320999999999999,0.10969125000000002
med_SurfaceTemp,Gardner,DSWE1,LS8,LS7,poly,475.80367212606967,NA,-2.139275887198636,0.005127430345972286,273.79703723,309.99386903
med_Blue,Gardner,DSWE1a,LS8,LS7,poly,0.010873448599639223,NA,1.0876184174410868,-1.2668084883441209,-1.999999999999225e-5,0.1073675
med_Green,Gardner,DSWE1a,LS8,LS7,poly,0.0063614182426623206,NA,0.8215471042170291,0.5897550821653829,0.005920000000000009,0.14978625
med_Red,Gardner,DSWE1a,LS8,LS7,poly,0.006455735645101924,NA,0.8921104476768056,0.35100628971554093,-0.001532500000000006,0.145785
med_Nir,Gardner,DSWE1a,LS8,LS7,poly,0.013104976567694266,NA,0.782887943802367,0.18095609101590418,-0.003154999999999991,0.12576500000000002
med_SurfaceTemp,Gardner,DSWE1a,LS8,LS7,poly,517.3459882112542,NA,-2.4259277643104267,0.00562019894041517,273.81241832,310.07077447999995
med_Blue,Gardner,DSWE1,LS7,LS8,poly,-0.010178832765890943,NA,0.9009859082647221,1.2053569091695844,0.01052625,0.1177075
med_Green,Gardner,DSWE1,LS7,LS8,poly,-0.00776883460866891,NA,1.2051228839071721,-0.639628853042269,0.011378749999999991,0.14204623749999795
med_Red,Gardner,DSWE1,LS7,LS8,poly,-0.007763225031531659,NA,1.1460872524688794,-0.5240645817327002,0.006112499999999993,0.14515250000000002
med_Nir,Gardner,DSWE1,LS7,LS8,poly,-0.01728838257534853,NA,1.331933360277812,-1.9230233091449633,0.008890000000000009,0.10989749999999998
med_SurfaceTemp,Gardner,DSWE1,LS7,LS8,poly,-747.5713514212782,NA,6.02789481696036,-0.008401299343564513,273.68936959999996,306.3656408
med_Blue,Gardner,DSWE1a,LS7,LS8,poly,-0.009721286865650401,NA,0.8842376700705835,1.273758135483401,0.010539999999999994,0.117515
med_Green,Gardner,DSWE1a,LS7,LS8,poly,-0.007532094046445572,NA,1.2145322343661695,-0.794351430781911,0.0113925,0.14190750000000002
med_Red,Gardner,DSWE1a,LS7,LS8,poly,-0.00713976083427854,NA,1.1207541020269134,-0.40886547234209725,0.00612625,0.14500125000000003
med_Nir,Gardner,DSWE1a,LS7,LS8,poly,-0.016771026629010616,NA,1.2859511336597578,-0.3633208252121945,0.008890000000000009,0.11212499999999996
med_SurfaceTemp,Gardner,DSWE1a,LS7,LS8,poly,-805.235152007209,NA,6.430103076418359,-0.00910063787589406,273.69278762,306.42032912
med_Blue,Gardner,DSWE1,LS9,LS8,poly,8.157272621007425e-5,NA,0.9867911909547834,-0.06525830062833077,7.624999999998605e-5,0.10552499999999998
med_Green,Gardner,DSWE1,LS9,LS8,poly,-7.39487567139441e-4,NA,1.0167697213866183,-0.1706874945051536,0.0059474999999999945,0.1469125
med_Red,Gardner,DSWE1,LS9,LS8,poly,-7.172064211991738e-5,NA,0.9869348130959361,0.05746999270492499,-0.0017112499999999975,0.1454275
med_Nir,Gardner,DSWE1,LS9,LS8,poly,-3.3431636760841455e-4,NA,1.0045868855054374,-0.07121672723769486,-0.0030999999999999917,0.11278500000000002
med_SurfaceTemp,Gardner,DSWE1,LS9,LS8,poly,-97.61859783700653,NA,1.6862336300286305,-0.0012018874755156939,273.65006237,310.55784232999997
med_Blue,Gardner,DSWE1a,LS9,LS8,poly,1.0027300214239781e-4,NA,0.9884563915228994,-0.062359433211518885,6.249999999999312e-5,0.1046175
med_Green,Gardner,DSWE1a,LS9,LS8,poly,-7.646442753894723e-4,NA,1.0203719891700995,-0.19757542159881533,0.006030000000000008,0.14590874999999998
med_Red,Gardner,DSWE1a,LS9,LS8,poly,-6.654237169212281e-5,NA,0.9887391418677118,0.04474790494425946,-0.0016837499999999975,0.14429999999999998
med_Nir,Gardner,DSWE1a,LS9,LS8,poly,-3.270509077915105e-4,NA,1.0033749293149854,0.053374604990834636,-0.0030175000000000063,0.14694
med_SurfaceTemp,Gardner,DSWE1a,LS9,LS8,poly,-92.63779360075246,NA,1.6530549553081322,-0.0011469091099601744,273.67569751999997,310.59031352
